,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,1,08/24/19,,Sat,(8) Florida,24,,Miami (FL),20,Camping World Stadium - Orlando Florida
2,2,1,08/24/19,,Sat,Hawaii,45,,Arizona,38,Aloha Stadium - Honolulu Hawaii
3,3,2,08/29/19,,Thu,Alabama-Birmingham,24,,Alabama State,19,Legion Field - Birmingham Alabama
4,4,2,08/29/19,,Thu,Arizona State,30,,Kent State,7,Sun Devil Stadium - Tempe Arizona
5,5,2,08/29/19,,Thu,Bowling Green State,46,,Morgan State,3,Doyt Perry Stadium - Bowling Green Ohio
6,6,2,08/29/19,,Thu,Buffalo,38,,Robert Morris,10,UB Stadium - Buffalo New York
7,7,2,08/29/19,,Thu,Central Arkansas,35,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
8,8,2,08/29/19,,Thu,(17) Central Florida,62,,Florida A&M,0,Spectrum Stadium - Orlando Florida
9,9,2,08/29/19,,Thu,Central Michigan,38,,Albany,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
10,10,2,08/29/19,,Thu,Charlotte,49,,Gardner-Webb,28,Jerry Richardson Stadium - Charlotte North Carolina
11,11,2,08/29/19,,Thu,Cincinnati,24,,UCLA,14,Nippert Stadium - Cincinnati Ohio
12,12,2,08/29/19,,Thu,(1) Clemson,52,,Georgia Tech,14,Clemson Memorial Stadium - Clemson South Carolina
13,13,2,08/29/19,,Thu,Connecticut,24,,Wagner,21,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
14,14,2,08/29/19,,Thu,Minnesota,28,,South Dakota State,21,TCF Bank Stadium - Minneapolis Minnesota
15,15,2,08/29/19,,Thu,San Jose State,35,,Northern Colorado,18,CEFCU Stadium - San Jose California
16,16,2,08/29/19,,Thu,(12) Texas A&M,41,,Texas State,7,Kyle Field - College Station Texas
17,17,2,08/29/19,,Thu,Tulane,42,,Florida International,14,Yulman Stadium - New Orleans Louisiana
18,18,2,08/29/19,,Thu,(14) Utah,30,@,Brigham Young,12,LaVell Edwards Stadium - Provo Utah
19,19,2,08/30/19,,Fri,Army,14,,Rice,7,Michie Stadium - West Point New York
20,20,2,08/30/19,,Fri,Colorado,52,,Colorado State,31,Empower Field at Mile High - Denver Colorado
21,21,2,08/30/19,,Fri,(18) Michigan State,28,,Tulsa,7,Spartan Stadium - East Lansing Michigan
22,22,2,08/30/19,,Fri,Nevada,34,,Purdue,31,MacKay Stadium - Reno Nevada
23,23,2,08/30/19,,Fri,Oklahoma State,52,@,Oregon State,36,Reser Stadium - Corvallis Oregon
24,24,2,08/30/19,,Fri,Rutgers,48,,Massachusetts,21,SHI Stadium - Piscataway New Jersey
25,25,2,08/30/19,,Fri,Wake Forest,38,,Utah State,35,BB&T Field - Winston-Salem North Carolina
26,26,2,08/30/19,,Fri,(19) Wisconsin,49,@,South Florida,0,Raymond James Stadium - Tampa Florida
27,27,2,08/31/19,,Sat,Air Force,48,,Colgate,7,Falcon Stadium - Colorado Springs Colorado
28,28,2,08/31/19,,Sat,(2) Alabama,42,,Duke,3,Mercedes-Benz Stadium - Atlanta Georgia
29,29,2,08/31/19,,Sat,Appalachian State,42,,East Tennessee State,7,Kidd Brewer Stadium - Boone North Carolina
30,30,2,08/31/19,,Sat,Arkansas,20,,Portland State,13,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
31,31,2,08/31/19,,Sat,(16) Auburn,27,,(11) Oregon,21,AT&T Stadium - Arlington Texas
32,32,2,08/31/19,,Sat,Baylor,56,,Stephen F. Austin,17,McLane Stadium - Waco Texas
33,33,2,08/31/19,,Sat,Boise State,36,@,Florida State,31,Doak Campbell Stadium - Tallahassee Florida
34,34,2,08/31/19,,Sat,Boston College,35,,Virginia Tech,28,Alumni Stadium - Chestnut Hill Massachusetts
35,35,2,08/31/19,,Sat,California,27,,California-Davis,13,California Memorial Stadium - Berkeley California
36,36,2,08/31/19,,Sat,Eastern Michigan,30,@,Coastal Carolina,23,Brooks Stadium - Conway South Carolina
37,37,2,08/31/19,,Sat,(3) Georgia,30,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
38,38,2,08/31/19,,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
39,39,2,08/31/19,,Sat,Illinois,42,,Akron,3,Memorial Stadium - Champaign Illinois
40,40,2,08/31/19,,Sat,Indiana,34,,Ball State,24,Lucas Oil Stadium - Indianapolis Indiana
41,41,2,08/31/19,,Sat,(20) Iowa,38,,Miami (OH),14,Kinnick Stadium - Iowa City Iowa
42,42,2,08/31/19,,Sat,(21) Iowa State,29,,Northern Iowa,26,Jack Trice Stadium - Ames Iowa
43,43,2,08/31/19,,Sat,Kansas,24,,Indiana State,17,David Booth Kansas Memorial Stadium - Lawrence Kansas
44,44,2,08/31/19,,Sat,Kansas State,49,,Nicholls State,14,Bill Snyder Family Stadium - Manhattan Kansas
45,45,2,08/31/19,,Sat,Kentucky,38,,Toledo,24,Kroger Field - Lexington Kentucky
46,46,2,08/31/19,,Sat,(6) Louisiana State,55,,Georgia Southern,3,Tiger Stadium - Baton Rouge Louisiana
47,47,2,08/31/19,,Sat,Louisiana-Monroe,31,,Grambling State,9,Malone Stadium - Monroe Louisiana
48,48,2,08/31/19,,Sat,Marshall,56,,Virginia Military Institute,17,Joan C. Edwards Stadium - Huntington West Virginia
49,49,2,08/31/19,,Sat,Maryland,79,,Howard,0,Capital One Field at Maryland Stadium - College Park Maryland
50,50,2,08/31/19,,Sat,Memphis,15,,Mississippi,10,Liberty Bowl Memorial Stadium - Memphis Tennessee
51,51,2,08/31/19,,Sat,(7) Michigan,40,,Middle Tennessee State,21,Michigan Stadium - Ann Arbor Michigan
52,52,2,08/31/19,,Sat,Mississippi State,38,,Louisiana,28,Mercedes-Benz Superdome - New Orleans Louisiana
53,53,2,08/31/19,,Sat,Navy,45,,Holy Cross,7,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
54,54,2,08/31/19,,Sat,(24) Nebraska,35,,South Alabama,21,Memorial Stadium - Lincoln Nebraska
55,55,2,08/31/19,,Sat,Nevada-Las Vegas,56,,Southern Utah,23,Sam Boyd Stadium - Las Vegas Nevada
56,56,2,08/31/19,,Sat,New Mexico,39,,Sam Houston State,31,Dreamstyle Stadium - Albuquerque New Mexico
57,57,2,08/31/19,,Sat,North Carolina,24,,South Carolina,20,Bank of America Stadium - Charlotte North Carolina
58,58,2,08/31/19,,Sat,North Carolina State,34,,East Carolina,6,Carter-Finley Stadium - Raleigh North Carolina
59,59,2,08/31/19,,Sat,North Texas,51,,Abilene Christian,31,Apogee Stadium - Denton Texas
60,60,2,08/31/19,,Sat,Northern Illinois,24,,Illinois State,10,Huskie Stadium - DeKalb Illinois
61,61,2,08/31/19,,Sat,Ohio,41,,Rhode Island,20,Peden Stadium - Athens Ohio
62,62,2,08/31/19,,Sat,(5) Ohio State,45,,Florida Atlantic,21,Ohio Stadium - Columbus Ohio
63,63,2,08/31/19,,Sat,Old Dominion,24,,Norfolk State,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
64,64,2,08/31/19,,Sat,(15) Penn State,79,,Idaho,7,Beaver Stadium - University Park Pennsylvania
65,65,2,08/31/19,,Sat,San Diego State,6,,Weber State,0,SDCCU Stadium - San Diego California
66,66,2,08/31/19,,Sat,Southern California,31,,Fresno State,23,Los Angeles Memorial Coliseum - Los Angeles California
67,67,2,08/31/19,,Sat,Southern Methodist,37,@,Arkansas State,30,Centennial Bank Stadium - Jonesboro Arkansas
68,68,2,08/31/19,,Sat,Southern Mississippi,38,,Alcorn State,10,M. M. Roberts Stadium - Hattiesburg Mississippi
69,69,2,08/31/19,,Sat,(25) Stanford,17,,Northwestern,7,Stanford Stadium - Stanford California
70,70,2,08/31/19,,Sat,(22) Syracuse,24,@,Liberty,0,Williams Stadium - Lynchburg Virginia
71,71,2,08/31/19,,Sat,Temple,56,,Bucknell,12,Lincoln Financial Field - Philadelphia Pennsylvania
72,72,2,08/31/19,,Sat,(10) Texas,45,,Louisiana Tech,14,Darrell K Royal-Texas Memorial Stadium - Austin Texas
73,73,2,08/31/19,,Sat,Texas Christian,39,,Arkansas-Pine Bluff,7,Amon G. Carter Stadium - Fort Worth Texas
74,74,2,08/31/19,,Sat,Texas Tech,45,,Montana State,10,Jones AT&T Stadium - Lubbock Texas
75,75,2,08/31/19,,Sat,Texas-El Paso,36,,Houston Baptist,34,Sun Bowl - El Paso Texas
76,76,2,08/31/19,,Sat,Texas-San Antonio,35,,Incarnate Word,7,Alamodome - San Antonio Texas
77,77,2,08/31/19,,Sat,Troy,43,,Campbell,14,Veterans Memorial Stadium - Troy Alabama
78,78,2,08/31/19,,Sat,Virginia,30,@,Pittsburgh,14,Heinz Field - Pittsburgh Pennsylvania
79,79,2,08/31/19,,Sat,(13) Washington,47,,Eastern Washington,14,Husky Stadium - Seattle Washington
80,80,2,08/31/19,,Sat,(23) Washington State,58,,New Mexico State,7,Martin Stadium - Pullman Washington
81,81,2,08/31/19,,Sat,West Virginia,20,,James Madison,13,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
82,82,2,08/31/19,,Sat,Western Michigan,48,,Monmouth,13,Waldo Stadium - Kalamazoo Michigan
83,83,2,08/31/19,,Sat,Wyoming,37,,Missouri,31,Jonah Field War Memorial Stadium - Laramie Wyoming
84,84,2,09/01/19,,Sun,(4) Oklahoma,49,,Houston,31,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
85,85,2,09/02/19,,Mon,(9) Notre Dame,35,@,Louisville,17,Cardinal Stadium - Louisville Kentucky
86,86,3,09/06/19,,Fri,Arizona State,19,,Sacramento State,7,Sun Devil Stadium - Tempe Arizona
87,87,3,09/06/19,,Fri,(24) Boise State,14,,Marshall,7,Albertsons Stadium - Boise Idaho
88,88,3,09/06/19,,Fri,Virginia,52,,William & Mary,17,Scott Stadium - Charlottesville Virginia
89,89,3,09/06/19,,Fri,Wake Forest,41,@,Rice,21,Rice Stadium - Houston Texas
90,90,3,09/07/19,,Sat,(2) Alabama,62,,New Mexico State,10,Bryant-Denny Stadium - Tuscaloosa Alabama
91,91,3,09/07/19,,Sat,Alabama-Birmingham,31,@,Akron,20,InfoCision Stadium - Akron Ohio
92,92,3,09/07/19,,Sat,Appalachian State,56,,Charlotte,41,Kidd Brewer Stadium - Boone North Carolina
93,93,3,09/07/19,,Sat,Arizona,65,,Northern Arizona,41,Arizona Stadium - Tucson Arizona
94,94,3,09/07/19,,Sat,Arkansas State,43,@,Nevada-Las Vegas,17,Sam Boyd Stadium - Las Vegas Nevada
95,95,3,09/07/19,,Sat,(10) Auburn,24,,Tulane,6,Jordan-Hare Stadium - Auburn Alabama
96,96,3,09/07/19,,Sat,Ball State,57,,Fordham,29,Scheumann Stadium - Muncie Indiana
97,97,3,09/07/19,,Sat,Baylor,63,,Texas-San Antonio,14,McLane Stadium - Waco Texas
98,98,3,09/07/19,,Sat,Boston College,45,,Richmond,13,Alumni Stadium - Chestnut Hill Massachusetts
99,99,3,09/07/19,,Sat,Brigham Young,29,@,Tennessee,26,Neyland Stadium - Knoxville Tennessee
100,100,3,09/07/19,,Sat,California,20,@,(14) Washington,19,Husky Stadium - Seattle Washington
101,101,3,09/07/19,,Sat,(18) Central Florida,48,@,Florida Atlantic,14,FAU Football Stadium - Boca Raton Florida
102,102,3,09/07/19,,Sat,(1) Clemson,24,,(12) Texas A&M,10,Clemson Memorial Stadium - Clemson South Carolina
103,103,3,09/07/19,,Sat,Coastal Carolina,12,@,Kansas,7,David Booth Kansas Memorial Stadium - Lawrence Kansas
104,104,3,09/07/19,,Sat,Colorado,34,,(25) Nebraska,31,Folsom Field - Boulder Colorado
105,105,3,09/07/19,,Sat,Colorado State,38,,Western Illinois,13,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
106,106,3,09/07/19,,Sat,Duke,45,,North Carolina A&T,13,Wallace Wade Stadium - Durham North Carolina
107,107,3,09/07/19,,Sat,East Carolina,48,,Gardner-Webb,9,Dowdy-Ficklen Stadium - Greenville North Carolina
108,108,3,09/07/19,,Sat,(11) Florida,45,,Tennessee-Martin,0,Ben Hill Griffin Stadium - Gainesville Florida
109,109,3,09/07/19,,Sat,Florida State,45,,Louisiana-Monroe,44,Doak Campbell Stadium - Tallahassee Florida
110,110,3,09/07/19,,Sat,(3) Georgia,63,,Murray State,17,Sanford Stadium - Athens Georgia
111,111,3,09/07/19,,Sat,Georgia Southern,26,,Maine,18,Allen E. Paulson Stadium - Statesboro Georgia
112,112,3,09/07/19,,Sat,Georgia State,48,,Furman,42,Georgia State Stadium - Atlanta Georgia
113,113,3,09/07/19,,Sat,Georgia Tech,14,,South Florida,10,Bobby Dodd Stadium - Atlanta Georgia
114,114,3,09/07/19,,Sat,Hawaii,31,,Oregon State,28,Aloha Stadium - Honolulu Hawaii
115,115,3,09/07/19,,Sat,Houston,37,,Prairie View A&M,17,TDECU Stadium - Houston Texas
116,116,3,09/07/19,,Sat,Illinois,31,@,Connecticut,23,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
117,117,3,09/07/19,,Sat,Indiana,52,,Eastern Illinois,0,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
118,118,3,09/07/19,,Sat,(20) Iowa,30,,Rutgers,0,Kinnick Stadium - Iowa City Iowa
119,119,3,09/07/19,,Sat,Kansas State,52,,Bowling Green State,0,Bill Snyder Family Stadium - Manhattan Kansas
120,120,3,09/07/19,,Sat,Kent State,26,,Kennesaw State,23,Dix Stadium - Kent Ohio
121,121,3,09/07/19,,Sat,Kentucky,38,,Eastern Michigan,17,Kroger Field - Lexington Kentucky
122,122,3,09/07/19,,Sat,Louisiana,35,,Liberty,14,Cajun Field - Lafayette Louisiana
123,123,3,09/07/19,,Sat,(6) Louisiana State,45,@,(9) Texas,38,Darrell K Royal-Texas Memorial Stadium - Austin Texas
124,124,3,09/07/19,,Sat,Louisiana Tech,20,,Grambling State,14,Joe Aillet Stadium - Ruston Louisiana
125,125,3,09/07/19,,Sat,Louisville,42,,Eastern Kentucky,0,Cardinal Stadium - Louisville Kentucky
126,126,3,09/07/19,,Sat,Maryland,63,,(21) Syracuse,20,Capital One Field at Maryland Stadium - College Park Maryland
127,127,3,09/07/19,,Sat,Memphis,55,,Southern,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
128,128,3,09/07/19,,Sat,Miami (OH),48,,Tennessee Tech,17,Fred Yager Stadium - Oxford Ohio
129,129,3,09/07/19,,Sat,(7) Michigan,24,,Army,21,Michigan Stadium - Ann Arbor Michigan
130,130,3,09/07/19,,Sat,(19) Michigan State,51,,Western Michigan,17,Spartan Stadium - East Lansing Michigan
131,131,3,09/07/19,,Sat,Middle Tennessee State,45,,Tennessee State,26,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
132,132,3,09/07/19,,Sat,Minnesota,38,@,Fresno State,35,Bulldog Stadium - Fresno California
133,133,3,09/07/19,,Sat,Mississippi,31,,Arkansas,17,Vaught-Hemingway Stadium - Oxford Mississippi
134,134,3,09/07/19,,Sat,Mississippi State,38,,Southern Mississippi,15,Davis Wade Stadium - Starkville Mississippi
135,135,3,09/07/19,,Sat,Missouri,38,,West Virginia,7,Faurot Field at Memorial Stadium - Columbia Missouri
136,136,3,09/07/19,,Sat,North Carolina,28,,Miami (FL),25,Kenan Memorial Stadium - Chapel Hill North Carolina
137,137,3,09/07/19,,Sat,North Carolina State,41,,Western Carolina,0,Carter-Finley Stadium - Raleigh North Carolina
138,138,3,09/07/19,,Sat,(5) Ohio State,42,,Cincinnati,0,Ohio Stadium - Columbus Ohio
139,139,3,09/07/19,,Sat,(4) Oklahoma,70,,South Dakota,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
140,140,3,09/07/19,,Sat,Oklahoma State,56,,McNeese State,14,Boone Pickens Stadium - Stillwater Oklahoma
141,141,3,09/07/19,,Sat,(16) Oregon,77,,Nevada,6,Autzen Stadium - Eugene Oregon
142,142,3,09/07/19,,Sat,(15) Penn State,45,,Buffalo,13,Beaver Stadium - University Park Pennsylvania
143,143,3,09/07/19,,Sat,Pittsburgh,20,,Ohio,10,Heinz Field - Pittsburgh Pennsylvania
144,144,3,09/07/19,,Sat,Purdue,42,,Vanderbilt,24,Ross-Ade Stadium - West Lafayette Indiana
145,145,3,09/07/19,,Sat,San Diego State,23,@,UCLA,14,Rose Bowl - Pasadena California
146,146,3,09/07/19,,Sat,South Alabama,37,,Jackson State,14,Ladd-Peebles Stadium - Mobile Alabama
147,147,3,09/07/19,,Sat,South Carolina,72,,Charleston Southern,10,Williams-Brice Stadium - Columbia South Carolina
148,148,3,09/07/19,,Sat,Southern California,45,,(23) Stanford,20,Los Angeles Memorial Coliseum - Los Angeles California
149,149,3,09/07/19,,Sat,Southern Illinois,45,@,Massachusetts,20,Warren McGuirk Alumni Stadium - Amherst Massachusetts
150,150,3,09/07/19,,Sat,Southern Methodist,49,,North Texas,27,Gerald J. Ford Stadium - Dallas Texas
151,151,3,09/07/19,,Sat,Texas Tech,38,,Texas-El Paso,3,Jones AT&T Stadium - Lubbock Texas
152,152,3,09/07/19,,Sat,Tulsa,34,@,San Jose State,16,CEFCU Stadium - San Jose California
153,153,3,09/07/19,,Sat,(13) Utah,35,,Northern Illinois,17,Rice-Eccles Stadium - Salt Lake City Utah
154,154,3,09/07/19,,Sat,Utah State,62,,Stony Brook,7,Merlin Olsen Field at Maverik Stadium - Logan Utah
155,155,3,09/07/19,,Sat,Virginia Tech,31,,Old Dominion,17,Lane Stadium - Blacksburg Virginia
156,156,3,09/07/19,,Sat,(22) Washington State,59,,Northern Colorado,17,Martin Stadium - Pullman Washington
157,157,3,09/07/19,,Sat,Western Kentucky,20,@,Florida International,14,Riccardo Silva Stadium - Miami Florida
158,158,3,09/07/19,,Sat,(17) Wisconsin,61,,Central Michigan,0,Camp Randall Stadium - Madison Wisconsin
159,159,3,09/07/19,,Sat,Wyoming,23,@,Texas State,14,Bobcat Stadium - San Marcos Texas
160,160,4,09/13/19,,Fri,Kansas,48,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
161,161,4,09/13/19,,Fri,Wake Forest,24,,North Carolina,18,BB&T Field - Winston-Salem North Carolina
162,162,4,09/13/19,,Fri,(20) Washington State,31,,Houston,24,NRG Stadium - Houston Texas
163,163,4,09/14/19,,Sat,Air Force,30,@,Colorado,23,Folsom Field - Boulder Colorado
164,164,4,09/14/19,,Sat,(2) Alabama,47,@,South Carolina,23,Williams-Brice Stadium - Columbia South Carolina
165,165,4,09/14/19,,Sat,Arizona,28,,Texas Tech,14,Arizona Stadium - Tucson Arizona
166,166,4,09/14/19,,Sat,Arizona State,10,@,(18) Michigan State,7,Spartan Stadium - East Lansing Michigan
167,167,4,09/14/19,,Sat,Arkansas,55,,Colorado State,34,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
168,168,4,09/14/19,,Sat,Army,31,@,Texas-San Antonio,13,Alamodome - San Antonio Texas
169,169,4,09/14/19,,Sat,(8) Auburn,55,,Kent State,16,Jordan-Hare Stadium - Auburn Alabama
170,170,4,09/14/19,,Sat,(22) Boise State,45,,Portland State,10,Albertsons Stadium - Boise Idaho
171,171,4,09/14/19,,Sat,Brigham Young,30,,(24) Southern California,27,LaVell Edwards Stadium - Provo Utah
172,172,4,09/14/19,,Sat,California,23,,North Texas,17,California Memorial Stadium - Berkeley California
173,173,4,09/14/19,,Sat,(17) Central Florida,45,,Stanford,27,Spectrum Stadium - Orlando Florida
174,174,4,09/14/19,,Sat,Central Michigan,45,,Akron,24,Kelly/Shorts Stadium - Mount Pleasant Michigan
175,175,4,09/14/19,,Sat,Charlotte,52,,Massachusetts,17,Jerry Richardson Stadium - Charlotte North Carolina
176,176,4,09/14/19,,Sat,Cincinnati,35,,Miami (OH),13,Nippert Stadium - Cincinnati Ohio
177,177,4,09/14/19,,Sat,Citadel,27,@,Georgia Tech,24,Bobby Dodd Stadium - Atlanta Georgia
178,178,4,09/14/19,,Sat,(1) Clemson,41,@,Syracuse,6,Carrier Dome - Syracuse New York
179,179,4,09/14/19,,Sat,Coastal Carolina,46,,Norfolk State,7,Brooks Stadium - Conway South Carolina
180,180,4,09/14/19,,Sat,Duke,41,@,Middle Tennessee State,18,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
181,181,4,09/14/19,,Sat,Eastern Michigan,34,@,Illinois,31,Memorial Stadium - Champaign Illinois
182,182,4,09/14/19,,Sat,(9) Florida,29,@,Kentucky,21,Kroger Field - Lexington Kentucky
183,183,4,09/14/19,,Sat,Florida Atlantic,41,@,Ball State,31,Scheumann Stadium - Muncie Indiana
184,184,4,09/14/19,,Sat,Florida International,30,,New Hampshire,17,Riccardo Silva Stadium - Miami Florida
185,185,4,09/14/19,,Sat,(3) Georgia,55,,Arkansas State,0,Sanford Stadium - Athens Georgia
186,186,4,09/14/19,,Sat,(19) Iowa,18,@,Iowa State,17,Jack Trice Stadium - Ames Iowa
187,187,4,09/14/19,,Sat,Kansas State,31,@,Mississippi State,24,Davis Wade Stadium - Starkville Mississippi
188,188,4,09/14/19,,Sat,Liberty,35,,Buffalo,17,Williams Stadium - Lynchburg Virginia
189,189,4,09/14/19,,Sat,Louisiana,77,,Texas Southern,6,Cajun Field - Lafayette Louisiana
190,190,4,09/14/19,,Sat,(4) Louisiana State,65,,Northwestern State,14,Tiger Stadium - Baton Rouge Louisiana
191,191,4,09/14/19,,Sat,Louisiana Tech,35,@,Bowling Green State,7,Doyt Perry Stadium - Bowling Green Ohio
192,192,4,09/14/19,,Sat,Louisville,38,,Western Kentucky,21,Nissan Stadium - Nashville Tennessee
193,193,4,09/14/19,,Sat,Marshall,33,,Ohio,31,Joan C. Edwards Stadium - Huntington West Virginia
194,194,4,09/14/19,,Sat,Memphis,42,@,South Alabama,6,Ladd-Peebles Stadium - Mobile Alabama
195,195,4,09/14/19,,Sat,Miami (FL),63,,Bethune-Cookman,0,Hard Rock Stadium - Miami Gardens Florida
196,196,4,09/14/19,,Sat,Minnesota,35,,Georgia Southern,32,TCF Bank Stadium - Minneapolis Minnesota
197,197,4,09/14/19,,Sat,Mississippi,40,,Southeastern Louisiana,29,Vaught-Hemingway Stadium - Oxford Mississippi
198,198,4,09/14/19,,Sat,Missouri,50,,Southeast Missouri State,0,Memorial Stadium/Faurot Field - Columbia Missouri
199,199,4,09/14/19,,Sat,Navy,42,,East Carolina,10,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
200,200,4,09/14/19,,Sat,Nebraska,44,,Northern Illinois,8,Memorial Stadium - Lincoln Nebraska
201,201,4,09/14/19,,Sat,Nevada,19,,Weber State,13,MacKay Stadium - Reno Nevada
202,202,4,09/14/19,,Sat,Northwestern,30,,Nevada-Las Vegas,14,Ryan Field - Evanston Illinois
203,203,4,09/14/19,,Sat,(7) Notre Dame,66,,New Mexico,14,Notre Dame Stadium - South Bend Indiana
204,204,4,09/14/19,,Sat,(6) Ohio State,51,@,Indiana,10,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
205,205,4,09/14/19,,Sat,(5) Oklahoma,48,@,UCLA,14,Rose Bowl - Pasadena California
206,206,4,09/14/19,,Sat,Oklahoma State,40,@,Tulsa,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
207,207,4,09/14/19,,Sat,(15) Oregon,35,,Montana,3,Autzen Stadium - Eugene Oregon
208,208,4,09/14/19,,Sat,Oregon State,45,,Cal Poly,7,Reser Stadium - Corvallis Oregon
209,209,4,09/14/19,,Sat,(13) Penn State,17,,Pittsburgh,10,Beaver Stadium - University Park Pennsylvania
210,210,4,09/14/19,,Sat,San Diego State,31,@,New Mexico State,10,Aggie Memorial Stadium - Las Cruces New Mexico
211,211,4,09/14/19,,Sat,South Florida,55,,South Carolina State,16,Raymond James Stadium - Tampa Florida
212,212,4,09/14/19,,Sat,Southern Methodist,47,,Texas State,17,Gerald J. Ford Stadium - Dallas Texas
213,213,4,09/14/19,,Sat,Southern Mississippi,47,@,Troy,42,Veterans Memorial Stadium - Troy Alabama
214,214,4,09/14/19,,Sat,Temple,20,,(21) Maryland,17,Lincoln Financial Field - Philadelphia Pennsylvania
215,215,4,09/14/19,,Sat,Tennessee,45,,Chattanooga,0,Neyland Stadium - Knoxville Tennessee
216,216,4,09/14/19,,Sat,(12) Texas,48,,Rice,13,NRG Stadium - Houston Texas
217,217,4,09/14/19,,Sat,(16) Texas A&M,62,,Lamar,3,Kyle Field - College Station Texas
218,218,4,09/14/19,,Sat,Texas Christian,34,@,Purdue,13,Ross-Ade Stadium - West Lafayette Indiana
219,219,4,09/14/19,,Sat,Toledo,45,,Murray State,0,Glass Bowl - Toledo Ohio
220,220,4,09/14/19,,Sat,Tulane,58,,Missouri State,6,Yulman Stadium - New Orleans Louisiana
221,221,4,09/14/19,,Sat,(11) Utah,31,,Idaho State,0,Rice-Eccles Stadium - Salt Lake City Utah
222,222,4,09/14/19,,Sat,(25) Virginia,31,,Florida State,24,Scott Stadium - Charlottesville Virginia
223,223,4,09/14/19,,Sat,Virginia Tech,24,,Furman,17,Lane Stadium - Blacksburg Virginia
224,224,4,09/14/19,,Sat,(23) Washington,52,,Hawaii,20,Husky Stadium - Seattle Washington
