,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
450,450,9,10/19/19,,Sat,(1) Alabama,35,,Tennessee,13,Bryant-Denny Stadium - Tuscaloosa Alabama
451,451,9,10/19/19,,Sat,Alabama-Birmingham,38,,Old Dominion,14,Legion Field - Birmingham Alabama
452,452,9,10/19/19,,Sat,(24) Appalachian State,52,,Louisiana-Monroe,7,Kidd Brewer Stadium - Boone North Carolina
453,453,9,10/19/19,,Sat,(11) Auburn,51,@,Arkansas,10,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
454,454,9,10/19/19,,Sat,Ball State,52,,Toledo,14,Scheumann Stadium - Muncie Indiana
455,455,9,10/19/19,,Sat,(18) Baylor,45,@,Oklahoma State,27,Boone Pickens Stadium - Stillwater Oklahoma
456,456,9,10/19/19,,Sat,Boston College,45,,North Carolina State,24,Alumni Stadium - Chestnut Hill Massachusetts
457,457,9,10/19/19,,Sat,Brigham Young,28,,(14) Boise State,25,LaVell Edwards Stadium - Provo Utah
458,458,9,10/19/19,,Sat,Buffalo,21,@,Akron,0,InfoCision Stadium - Akron Ohio
459,459,9,10/19/19,,Sat,Central Florida,41,,East Carolina,28,Spectrum Stadium - Orlando Florida
460,460,9,10/19/19,,Sat,Central Michigan,38,@,Bowling Green State,20,Doyt Perry Stadium - Bowling Green Ohio
461,461,9,10/19/19,,Sat,(21) Cincinnati,24,,Tulsa,13,Nippert Stadium - Cincinnati Ohio
462,462,9,10/19/19,,Sat,(3) Clemson,45,@,Louisville,10,Cardinal Stadium - Louisville Kentucky
463,463,9,10/19/19,,Sat,Eastern Michigan,34,,Western Michigan,27,Rynearson Stadium - Ypsilanti Michigan
464,464,9,10/19/19,,Sat,(9) Florida,38,@,South Carolina,27,Williams-Brice Stadium - Columbia South Carolina
465,465,9,10/19/19,,Sat,Florida International,32,,Texas-El Paso,17,Riccardo Silva Stadium - Miami Florida
466,466,9,10/19/19,,Sat,(10) Georgia,21,,Kentucky,0,Sanford Stadium - Athens Georgia
467,467,9,10/19/19,,Sat,Georgia Southern,30,,Coastal Carolina,27,Allen E. Paulson Stadium - Statesboro Georgia
468,468,9,10/19/19,,Sat,Georgia State,28,,Army,21,Georgia State Stadium - Atlanta Georgia
469,469,9,10/19/19,,Sat,Georgia Tech,28,@,Miami (FL),21,Hard Rock Stadium - Miami Gardens Florida
470,470,9,10/19/19,,Sat,Houston,24,@,Connecticut,17,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
471,471,9,10/19/19,,Sat,Illinois,24,,(6) Wisconsin,23,Memorial Stadium - Champaign Illinois
472,472,9,10/19/19,,Sat,Indiana,34,@,Maryland,28,Capital One Field at Maryland Stadium - College Park Maryland
473,473,9,10/19/19,,Sat,(23) Iowa,26,,Purdue,20,Kinnick Stadium - Iowa City Iowa
474,474,9,10/19/19,,Sat,Iowa State,34,@,Texas Tech,24,Jones AT&T Stadium - Lubbock Texas
475,475,9,10/19/19,,Sat,Kansas State,24,,Texas Christian,17,Bill Snyder Family Stadium - Manhattan Kansas
476,476,9,10/19/19,,Sat,Liberty,59,,Maine,44,Williams Stadium - Lynchburg Virginia
477,477,9,10/19/19,,Sat,(2) Louisiana State,36,@,Mississippi State,13,Davis Wade Stadium - Starkville Mississippi
478,478,9,10/19/19,,Sat,Louisiana Tech,45,,Southern Mississippi,30,Joe Aillet Stadium - Ruston Louisiana
479,479,9,10/19/19,,Sat,Memphis,47,,Tulane,17,Liberty Bowl Memorial Stadium - Memphis Tennessee
480,480,9,10/19/19,,Sat,Miami (OH),27,,Northern Illinois,24,Fred Yager Stadium - Oxford Ohio
481,481,9,10/19/19,,Sat,(20) Minnesota,42,@,Rutgers,7,SHI Stadium - Piscataway New Jersey
482,482,9,10/19/19,,Sat,Navy,35,,South Florida,3,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
483,483,9,10/19/19,,Sat,North Texas,33,,Middle Tennessee State,30,Apogee Stadium - Denton Texas
484,484,9,10/19/19,,Sat,Ohio,45,,Kent State,38,Peden Stadium - Athens Ohio
485,485,9,10/19/19,,Sat,(5) Oklahoma,52,,West Virginia,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
486,486,9,10/19/19,,Sat,(12) Oregon,35,@,(25) Washington,31,Husky Stadium - Seattle Washington
487,487,9,10/19/19,,Sat,Oregon State,21,@,California,17,California Memorial Stadium - Berkeley California
488,488,9,10/19/19,,Sat,(7) Penn State,28,,(16) Michigan,21,Beaver Stadium - University Park Pennsylvania
489,489,9,10/19/19,,Sat,San Diego State,27,@,San Jose State,17,CEFCU Stadium - San Jose California
490,490,9,10/19/19,,Sat,Southern California,41,,Arizona,14,Los Angeles Memorial Coliseum - Los Angeles California
491,491,9,10/19/19,,Sat,(19) Southern Methodist,45,,Temple,21,Gerald J. Ford Stadium - Dallas Texas
492,492,9,10/19/19,,Sat,(15) Texas,50,,Kansas,48,Darrell K Royal-Texas Memorial Stadium - Austin Texas
493,493,9,10/19/19,,Sat,Texas A&M,24,@,Mississippi,17,Vaught-Hemingway Stadium - Oxford Mississippi
494,494,9,10/19/19,,Sat,Texas-San Antonio,31,,Rice,27,Alamodome - San Antonio Texas
495,495,9,10/19/19,,Sat,(13) Utah,21,,(17) Arizona State,3,Rice-Eccles Stadium - Salt Lake City Utah
496,496,9,10/19/19,,Sat,Utah State,36,,Nevada,10,Merlin Olsen Field at Maverik Stadium - Logan Utah
497,497,9,10/19/19,,Sat,Vanderbilt,21,,(22) Missouri,14,Vanderbilt Stadium - Nashville Tennessee
498,498,9,10/19/19,,Sat,Virginia,48,,Duke,14,Scott Stadium - Charlottesville Virginia
499,499,9,10/19/19,,Sat,Virginia Tech,43,,North Carolina,41,Lane Stadium - Blacksburg Virginia
500,500,9,10/19/19,,Sat,Wake Forest,22,,Florida State,20,BB&T Field - Winston-Salem North Carolina
501,501,9,10/19/19,,Sat,Washington State,41,,Colorado,10,Martin Stadium - Pullman Washington
502,502,9,10/19/19,,Sat,Western Kentucky,30,,Charlotte,14,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
503,503,9,10/19/19,,Sat,Wyoming,23,,New Mexico,10,Jonah Field War Memorial Stadium - Laramie Wyoming
504,504,10,10/24/19,,Thu,(16) Southern Methodist,34,@,Houston,31,TDECU Stadium - Houston Texas
505,505,10,10/25/19,,Fri,Southern California,35,@,Colorado,31,Folsom Field - Boulder Colorado
506,506,10,10/26/19,,Sat,Air Force,31,,Utah State,7,Falcon Stadium - Colorado Springs Colorado
507,507,10,10/26/19,,Sat,(1) Alabama,48,,Arkansas,7,Bryant-Denny Stadium - Tuscaloosa Alabama
508,508,10,10/26/19,,Sat,(21) Appalachian State,30,@,South Alabama,3,Ladd-Peebles Stadium - Mobile Alabama
509,509,10,10/26/19,,Sat,Arkansas State,38,,Texas State,14,Centennial Bank Stadium - Jonesboro Arkansas
510,510,10,10/26/19,,Sat,Buffalo,43,,Central Michigan,20,UB Stadium - Buffalo New York
511,511,10,10/26/19,,Sat,Central Florida,63,@,Temple,21,Lincoln Financial Field - Philadelphia Pennsylvania
512,512,10,10/26/19,,Sat,Charlotte,39,,North Texas,38,Jerry Richardson Stadium - Charlotte North Carolina
513,513,10,10/26/19,,Sat,(4) Clemson,59,,Boston College,7,Clemson Memorial Stadium - Clemson South Carolina
514,514,10,10/26/19,,Sat,Colorado State,41,@,Fresno State,31,Bulldog Stadium - Fresno California
515,515,10,10/26/19,,Sat,Connecticut,56,@,Massachusetts,35,Warren McGuirk Alumni Stadium - Amherst Massachusetts
516,516,10,10/26/19,,Sat,Florida Atlantic,41,@,Old Dominion,3,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
517,517,10,10/26/19,,Sat,Florida State,35,,Syracuse,17,Doak Campbell Stadium - Tallahassee Florida
518,518,10,10/26/19,,Sat,Georgia Southern,41,,New Mexico State,7,Allen E. Paulson Stadium - Statesboro Georgia
519,519,10,10/26/19,,Sat,Georgia State,52,,Troy,33,Georgia State Stadium - Atlanta Georgia
520,520,10,10/26/19,,Sat,Hawaii,45,@,New Mexico,31,Dreamstyle Stadium - Albuquerque New Mexico
521,521,10,10/26/19,,Sat,Illinois,24,@,Purdue,6,Ross-Ade Stadium - West Lafayette Indiana
522,522,10,10/26/19,,Sat,Indiana,38,@,Nebraska,31,Memorial Stadium - Lincoln Nebraska
523,523,10,10/26/19,,Sat,(20) Iowa,20,@,Northwestern,0,Ryan Field - Evanston Illinois
524,524,10,10/26/19,,Sat,Kansas,37,,Texas Tech,34,David Booth Kansas Memorial Stadium - Lawrence Kansas
525,525,10,10/26/19,,Sat,Kansas State,48,,(5) Oklahoma,41,Bill Snyder Family Stadium - Manhattan Kansas
526,526,10,10/26/19,,Sat,Kentucky,29,,Missouri,7,Kroger Field - Lexington Kentucky
527,527,10,10/26/19,,Sat,(2) Louisiana State,23,,(9) Auburn,20,Tiger Stadium - Baton Rouge Louisiana
528,528,10,10/26/19,,Sat,Louisiana Tech,42,@,Texas-El Paso,21,Sun Bowl - El Paso Texas
529,529,10,10/26/19,,Sat,Louisville,28,,Virginia,21,Cardinal Stadium - Louisville Kentucky
530,530,10,10/26/19,,Sat,Marshall,26,,Western Kentucky,23,Joan C. Edwards Stadium - Huntington West Virginia
531,531,10,10/26/19,,Sat,Memphis,42,@,Tulsa,41,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
532,532,10,10/26/19,,Sat,Miami (FL),16,@,Pittsburgh,12,Heinz Field - Pittsburgh Pennsylvania
533,533,10,10/26/19,,Sat,Miami (OH),23,@,Kent State,16,Dix Stadium - Kent Ohio
534,534,10,10/26/19,,Sat,(19) Michigan,45,,(8) Notre Dame,14,Michigan Stadium - Ann Arbor Michigan
535,535,10,10/26/19,,Sat,Middle Tennessee State,50,,Florida International,17,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
536,536,10,10/26/19,,Sat,(17) Minnesota,52,,Maryland,10,TCF Bank Stadium - Minneapolis Minnesota
537,537,10,10/26/19,,Sat,Navy,41,,Tulane,38,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
538,538,10,10/26/19,,Sat,North Carolina,20,,Duke,17,Kenan Memorial Stadium - Chapel Hill North Carolina
539,539,10,10/26/19,,Sat,Northern Illinois,49,,Akron,0,Huskie Stadium - DeKalb Illinois
540,540,10,10/26/19,,Sat,Ohio,34,@,Ball State,21,Scheumann Stadium - Muncie Indiana
541,541,10,10/26/19,,Sat,(3) Ohio State,38,,(13) Wisconsin,7,Ohio Stadium - Columbus Ohio
542,542,10,10/26/19,,Sat,Oklahoma State,34,@,(23) Iowa State,27,Jack Trice Stadium - Ames Iowa
543,543,10,10/26/19,,Sat,(11) Oregon,37,,Washington State,35,Autzen Stadium - Eugene Oregon
544,544,10,10/26/19,,Sat,(6) Penn State,28,@,Michigan State,7,Spartan Stadium - East Lansing Michigan
545,545,10,10/26/19,,Sat,Rutgers,44,,Liberty,34,SHI Stadium - Piscataway New Jersey
546,546,10,10/26/19,,Sat,San Diego State,20,@,Nevada-Las Vegas,17,Sam Boyd Stadium - Las Vegas Nevada
547,547,10,10/26/19,,Sat,San Jose State,34,@,Army,29,Michie Stadium - West Point New York
548,548,10,10/26/19,,Sat,South Florida,45,@,East Carolina,20,Dowdy-Ficklen Stadium - Greenville North Carolina
549,549,10,10/26/19,,Sat,Southern Mississippi,20,@,Rice,6,Rice Stadium - Houston Texas
550,550,10,10/26/19,,Sat,Stanford,41,,Arizona,31,Stanford Stadium - Stanford California
551,551,10,10/26/19,,Sat,Tennessee,41,,South Carolina,21,Neyland Stadium - Knoxville Tennessee
552,552,10,10/26/19,,Sat,Texas A&M,49,,Mississippi State,30,Kyle Field - College Station Texas
553,553,10,10/26/19,,Sat,Texas Christian,37,,(15) Texas,27,Amon G. Carter Stadium - Fort Worth Texas
554,554,10,10/26/19,,Sat,Toledo,37,,Eastern Michigan,34,Glass Bowl - Toledo Ohio
555,555,10,10/26/19,,Sat,UCLA,42,,(24) Arizona State,32,Rose Bowl - Pasadena California
556,556,10,10/26/19,,Sat,(12) Utah,35,,California,0,Rice-Eccles Stadium - Salt Lake City Utah
557,557,10,10/26/19,,Sat,Western Michigan,49,,Bowling Green State,10,Waldo Stadium - Kalamazoo Michigan
558,558,10,10/26/19,,Sat,Wyoming,31,,Nevada,3,Jonah Field War Memorial Stadium - Laramie Wyoming
559,559,11,10/31/19,,Thu,(12) Baylor,17,,West Virginia,14,McLane Stadium - Waco Texas
560,560,11,10/31/19,,Thu,Georgia Southern,24,@,(20) Appalachian State,21,Kidd Brewer Stadium - Boone North Carolina
561,561,11,11/01/19,,Fri,Navy,56,@,Connecticut,10,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
562,562,11,11/02/19,,Sat,Air Force,17,,Army,13,Falcon Stadium - Colorado Springs Colorado
563,563,11,11/02/19,,Sat,Arkansas State,48,@,Louisiana-Monroe,41,Malone Stadium - Monroe Louisiana
564,564,11,11/02/19,,Sat,(11) Auburn,20,,Mississippi,14,Jordan-Hare Stadium - Auburn Alabama
565,565,11,11/02/19,,Sat,(21) Boise State,52,@,San Jose State,42,CEFCU Stadium - San Jose California
566,566,11,11/02/19,,Sat,Boston College,58,@,Syracuse,27,DOME - Syracuse New York
567,567,11,11/02/19,,Sat,Bowling Green State,35,,Akron,6,Doyt Perry Stadium - Bowling Green Ohio
568,568,11,11/02/19,,Sat,Brigham Young,42,@,Utah State,14,Merlin Olsen Field at Maverik Stadium - Logan Utah
569,569,11,11/02/19,,Sat,Buffalo,43,@,Eastern Michigan,14,Rynearson Stadium - Ypsilanti Michigan
570,570,11,11/02/19,,Sat,Central Florida,44,,Houston,29,Spectrum Stadium - Orlando Florida
571,571,11,11/02/19,,Sat,Central Michigan,48,,Northern Illinois,10,Kelly/Shorts Stadium - Mount Pleasant Michigan
572,572,11,11/02/19,,Sat,Charlotte,34,,Middle Tennessee State,20,Jerry Richardson Stadium - Charlotte North Carolina
573,573,11,11/02/19,,Sat,(17) Cincinnati,46,@,East Carolina,43,Dowdy-Ficklen Stadium - Greenville North Carolina
574,574,11,11/02/19,,Sat,(4) Clemson,59,,Wofford,14,Clemson Memorial Stadium - Clemson South Carolina
575,575,11,11/02/19,,Sat,Coastal Carolina,36,,Troy,35,Brooks Stadium - Conway South Carolina
576,576,11,11/02/19,,Sat,Colorado State,37,,Nevada-Las Vegas,17,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
577,577,11,11/02/19,,Sat,Florida Atlantic,35,@,Western Kentucky,24,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
578,578,11,11/02/19,,Sat,Florida International,24,,Old Dominion,17,Riccardo Silva Stadium - Miami Florida
579,579,11,11/02/19,,Sat,Fresno State,41,@,Hawaii,38,Aloha Stadium - Honolulu Hawaii
580,580,11,11/02/19,,Sat,(8) Georgia,24,,(6) Florida,17,TIAA Bank Field - Jacksonville Florida
581,581,11,11/02/19,,Sat,Illinois,38,,Rutgers,10,Memorial Stadium - Champaign Illinois
582,582,11,11/02/19,,Sat,Indiana,34,,Northwestern,3,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
583,583,11,11/02/19,,Sat,(22) Kansas State,38,@,Kansas,10,David Booth Kansas Memorial Stadium - Lawrence Kansas
584,584,11,11/02/19,,Sat,Liberty,63,@,Massachusetts,21,Warren McGuirk Alumni Stadium - Amherst Massachusetts
585,585,11,11/02/19,,Sat,Louisiana,31,,Texas State,3,Cajun Field - Lafayette Louisiana
586,586,11,11/02/19,,Sat,Marshall,20,@,Rice,7,Rice Stadium - Houston Texas
587,587,11,11/02/19,,Sat,(24) Memphis,54,,(15) Southern Methodist,48,Liberty Bowl Memorial Stadium - Memphis Tennessee
588,588,11,11/02/19,,Sat,Miami (FL),27,@,Florida State,10,Doak Campbell Stadium - Tallahassee Florida
589,589,11,11/02/19,,Sat,(14) Michigan,38,@,Maryland,7,Capital One Field at Maryland Stadium - College Park Maryland
590,590,11,11/02/19,,Sat,Mississippi State,54,@,Arkansas,24,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
591,591,11,11/02/19,,Sat,Nevada,21,,New Mexico,10,MacKay Stadium - Reno Nevada
592,592,11,11/02/19,,Sat,North Texas,52,,Texas-El Paso,26,Apogee Stadium - Denton Texas
593,593,11,11/02/19,,Sat,(16) Notre Dame,21,,Virginia Tech,20,Notre Dame Stadium - South Bend Indiana
594,594,11,11/02/19,,Sat,Oklahoma State,34,,Texas Christian,27,Boone Pickens Stadium - Stillwater Oklahoma
595,595,11,11/02/19,,Sat,(7) Oregon,56,@,Southern California,24,Los Angeles Memorial Coliseum - Los Angeles California
596,596,11,11/02/19,,Sat,Oregon State,56,@,Arizona,38,Arizona Stadium - Tucson Arizona
597,597,11,11/02/19,,Sat,Pittsburgh,20,@,Georgia Tech,10,Bobby Dodd Stadium - Atlanta Georgia
598,598,11,11/02/19,,Sat,Purdue,31,,Nebraska,27,Ross-Ade Stadium - West Lafayette Indiana
599,599,11,11/02/19,,Sat,South Carolina,24,,Vanderbilt,7,Williams-Brice Stadium - Columbia South Carolina
600,600,11,11/02/19,,Sat,Tennessee,30,,Alabama-Birmingham,7,Neyland Stadium - Knoxville Tennessee
601,601,11,11/02/19,,Sat,Texas A&M,45,,Texas-San Antonio,14,Kyle Field - College Station Texas
602,602,11,11/02/19,,Sat,Tulane,38,,Tulsa,26,Yulman Stadium - New Orleans Louisiana
603,603,11,11/02/19,,Sat,UCLA,31,,Colorado,14,Rose Bowl - Pasadena California
604,604,11,11/02/19,,Sat,(9) Utah,33,@,Washington,28,Husky Stadium - Seattle Washington
605,605,11,11/02/19,,Sat,Virginia,38,@,North Carolina,31,Kenan Memorial Stadium - Chapel Hill North Carolina
606,606,11,11/02/19,,Sat,(23) Wake Forest,44,,North Carolina State,10,BB&T Field - Winston-Salem North Carolina
607,607,12,11/05/19,,Tue,Toledo,35,,Kent State,33,Glass Bowl - Toledo Ohio
608,608,12,11/05/19,,Tue,Western Michigan,35,,Ball State,31,Waldo Stadium - Kalamazoo Michigan
609,609,12,11/06/19,,Wed,Miami (OH),24,@,Ohio,21,Peden Stadium - Athens Ohio
610,610,12,11/07/19,,Thu,Louisiana,48,@,Coastal Carolina,7,Brooks Stadium - Conway South Carolina
611,611,12,11/07/19,,Thu,Temple,17,@,South Florida,7,Raymond James Stadium - Tampa Florida
612,612,12,11/08/19,,Fri,Tulsa,34,,Central Florida,31,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
613,613,12,11/08/19,,Fri,Washington,19,@,Oregon State,7,Reser Stadium - Corvallis Oregon
614,614,12,11/09/19,,Sat,Appalachian State,20,@,South Carolina,15,Williams-Brice Stadium - Columbia South Carolina
615,615,12,11/09/19,,Sat,Army,63,,Massachusetts,7,Michie Stadium - West Point New York
616,616,12,11/09/19,,Sat,(11) Baylor,29,@,Texas Christian,23,Amon G. Carter Stadium - Fort Worth Texas
617,617,12,11/09/19,,Sat,(21) Boise State,20,,Wyoming,17,Albertsons Stadium - Boise Idaho
618,618,12,11/09/19,,Sat,Brigham Young,31,,Liberty,24,LaVell Edwards Stadium - Provo Utah
619,619,12,11/09/19,,Sat,California,33,,Washington State,20,California Memorial Stadium - Berkeley California
620,620,12,11/09/19,,Sat,Charlotte,28,@,Texas-El Paso,21,Sun Bowl - El Paso Texas
621,621,12,11/09/19,,Sat,(17) Cincinnati,48,,Connecticut,3,Nippert Stadium - Cincinnati Ohio
622,622,12,11/09/19,,Sat,(4) Clemson,55,@,North Carolina State,10,Carter-Finley Stadium - Raleigh North Carolina
623,623,12,11/09/19,,Sat,Colorado,16,,Stanford,13,Folsom Field - Boulder Colorado
624,624,12,11/09/19,,Sat,(10) Florida,56,,Vanderbilt,0,Ben Hill Griffin Stadium - Gainesville Florida
625,625,12,11/09/19,,Sat,Florida Atlantic,37,,Florida International,7,FAU Football Stadium - Boca Raton Florida
626,626,12,11/09/19,,Sat,Florida State,38,@,Boston College,31,Alumni Stadium - Chestnut Hill Massachusetts
627,627,12,11/09/19,,Sat,(6) Georgia,27,,Missouri,0,Sanford Stadium - Athens Georgia
628,628,12,11/09/19,,Sat,Hawaii,42,,San Jose State,40,Aloha Stadium - Honolulu Hawaii
629,629,12,11/09/19,,Sat,Illinois,37,@,Michigan State,34,Spartan Stadium - East Lansing Michigan
630,630,12,11/09/19,,Sat,(1) Louisiana State,46,@,(2) Alabama,41,Bryant-Denny Stadium - Tuscaloosa Alabama
631,631,12,11/09/19,,Sat,Louisiana Tech,52,,North Texas,17,Joe Aillet Stadium - Ruston Louisiana
632,632,12,11/09/19,,Sat,Louisiana-Monroe,45,,Georgia State,31,Malone Stadium - Monroe Louisiana
633,633,12,11/09/19,,Sat,Miami (FL),52,,Louisville,27,Hard Rock Stadium - Miami Gardens Florida
634,634,12,11/09/19,,Sat,(13) Minnesota,31,,(5) Penn State,26,TCF Bank Stadium - Minneapolis Minnesota
635,635,12,11/09/19,,Sat,Mississippi,41,,New Mexico State,3,Vaught-Hemingway Stadium - Oxford Mississippi
636,636,12,11/09/19,,Sat,Nevada,17,@,(24) San Diego State,13,SDCCU Stadium - San Diego California
637,637,12,11/09/19,,Sat,(15) Notre Dame,38,@,Duke,7,Wallace Wade Stadium - Durham North Carolina
638,638,12,11/09/19,,Sat,(3) Ohio State,73,,Maryland,14,Ohio Stadium - Columbus Ohio
639,639,12,11/09/19,,Sat,(9) Oklahoma,42,,Iowa State,41,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
640,640,12,11/09/19,,Sat,Purdue,24,@,Northwestern,22,Ryan Field - Evanston Illinois
641,641,12,11/09/19,,Sat,Southern California,31,@,Arizona State,26,Sun Devil Stadium - Tempe Arizona
642,642,12,11/09/19,,Sat,(23) Southern Methodist,59,,East Carolina,51,Gerald J. Ford Stadium - Dallas Texas
643,643,12,11/09/19,,Sat,Southern Mississippi,37,,Alabama-Birmingham,2,M. M. Roberts Stadium - Hattiesburg Mississippi
644,644,12,11/09/19,,Sat,Tennessee,17,@,Kentucky,13,Kroger Field - Lexington Kentucky
645,645,12,11/09/19,,Sat,Texas,27,,(20) Kansas State,24,Darrell K Royal-Texas Memorial Stadium - Austin Texas
646,646,12,11/09/19,,Sat,Texas State,30,,South Alabama,28,Bobcat Stadium - San Marcos Texas
647,647,12,11/09/19,,Sat,Texas Tech,38,@,West Virginia,17,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
648,648,12,11/09/19,,Sat,Texas-San Antonio,24,@,Old Dominion,23,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
649,649,12,11/09/19,,Sat,Troy,49,,Georgia Southern,28,Veterans Memorial Stadium - Troy Alabama
650,650,12,11/09/19,,Sat,Utah State,37,@,Fresno State,35,Bulldog Stadium - Fresno California
651,651,12,11/09/19,,Sat,Virginia,33,,Georgia Tech,28,Scott Stadium - Charlottesville Virginia
652,652,12,11/09/19,,Sat,Virginia Tech,36,,(22) Wake Forest,17,Lane Stadium - Blacksburg Virginia
653,653,12,11/09/19,,Sat,Western Kentucky,45,@,Arkansas,19,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
654,654,12,11/09/19,,Sat,(16) Wisconsin,24,,(18) Iowa,22,Camp Randall Stadium - Madison Wisconsin
655,655,13,11/12/19,,Tue,Eastern Michigan,42,@,Akron,14,InfoCision Stadium - Akron Ohio
656,656,13,11/12/19,,Tue,Western Michigan,37,@,Ohio,34,Peden Stadium - Athens Ohio
657,657,13,11/13/19,,Wed,Miami (OH),44,,Bowling Green State,3,Fred Yager Stadium - Oxford Ohio
658,658,13,11/13/19,,Wed,Northern Illinois,31,@,Toledo,28,Glass Bowl - Toledo Ohio
659,659,13,11/14/19,,Thu,Kent State,30,,Buffalo,27,Dix Stadium - Kent Ohio
660,660,13,11/14/19,,Thu,Pittsburgh,34,,North Carolina,27,Heinz Field - Pittsburgh Pennsylvania
661,661,13,11/15/19,,Fri,Marshall,31,,Louisiana Tech,10,Joan C. Edwards Stadium - Huntington West Virginia
662,662,13,11/15/19,,Fri,San Diego State,17,,Fresno State,7,SDCCU Stadium - San Diego California
663,663,13,11/16/19,,Sat,Air Force,38,@,Colorado State,21,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
664,664,13,11/16/19,,Sat,(4) Alabama,38,@,Mississippi State,7,Davis Wade Stadium - Starkville Mississippi
665,665,13,11/16/19,,Sat,Alabama-Birmingham,37,,Texas-El Paso,10,Legion Field - Birmingham Alabama
666,666,13,11/16/19,,Sat,Appalachian State,56,@,Georgia State,27,Georgia State Stadium - Atlanta Georgia
667,667,13,11/16/19,,Sat,Arkansas State,28,,Coastal Carolina,27,Centennial Bank Stadium - Jonesboro Arkansas
668,668,13,11/16/19,,Sat,Army,47,,Virginia Military Institute,6,Michie Stadium - West Point New York
669,669,13,11/16/19,,Sat,(19) Boise State,42,,New Mexico,9,Albertsons Stadium - Boise Idaho
670,670,13,11/16/19,,Sat,Brigham Young,42,,Idaho State,10,LaVell Edwards Stadium - Provo Utah
671,671,13,11/16/19,,Sat,Central Michigan,45,@,Ball State,44,Scheumann Stadium - Muncie Indiana
